temperature,humidity,rainfall,visibility,wind_speed,road_condition,traffic_density,current_speed,hour_of_day,recommended_speed,road_condition_code,traffic_density_code
42.2,41.1,11.9,5.5,15.4,wet,medium,71.8,20,49.9,1,1
13.2,85.2,0.0,7.5,32.8,dry,low,70.0,23,77.5,0,0
21.6,82.6,0.12,10.0,18.9,dry,medium,39.5,21,87.2,0,1
31.0,41.3,0.0,7.47,29.1,dry,medium,58.8,1,72.6,0,1
23.2,36.3,0.0,8.12,13.7,dry,medium,68.7,16,76.3,0,1
41.9,62.2,6.34,7.02,23.1,wet,medium,56.3,5,63.3,1,1
32.4,62.5,4.87,2.89,12.9,wet,low,42.8,11,41.5,1,0
43.0,80.7,1.21,10.0,2.8,snow,low,60.4,1,59.6,2,0
6.6,22.3,1.73,4.33,25.0,ice,low,73.6,21,24.1,3,0
0.2,77.2,0.0,4.98,16.5,dry,medium,65.3,23,57.6,0,1
26.2,77.0,0.0,6.21,20.2,dry,medium,78.4,22,60.6,0,1
30.8,28.7,0.0,8.18,25.1,dry,medium,74.0,15,76.4,0,1
41.5,38.2,0.0,5.21,18.4,dry,medium,64.6,9,65.4,0,1
16.9,66.4,0.15,10.0,1.3,ice,high,42.7,7,35.9,3,2
15.3,63.3,0.0,6.28,33.1,dry,low,55.6,17,69.9,0,0
29.5,58.1,0.12,8.43,16.7,dry,high,11.2,19,69.5,0,2
8.2,63.9,0.06,7.93,1.9,dry,low,62.6,20,87.1,0,0
10.6,36.8,0.83,8.09,26.4,ice,high,71.2,23,27.0,3,2
2.7,60.4,2.81,7.75,4.3,wet,medium,36.2,2,60.0,1,1
43.2,20.5,13.74,2.97,3.1,wet,low,82.5,1,44.1,1,0
34.2,32.4,12.01,1.98,0.5,wet,medium,97.6,23,37.3,1,1
38.3,71.8,0.0,10.0,24.1,dry,low,74.8,12,97.2,0,0
5.0,99.7,0.0,5.4,17.3,dry,medium,39.2,19,64.7,0,1
25.5,38.5,0.46,10.0,25.1,snow,high,55.6,10,45.0,2,2
32.8,74.7,6.82,10.0,12.5,wet,high,60.6,21,63.3,1,2
37.6,53.4,11.19,2.68,13.3,wet,low,65.2,17,42.0,1,0
1.6,57.1,0.23,9.47,5.2,dry,low,60.6,15,94.2,0,0
27.8,94.4,3.84,4.24,8.8,snow,medium,22.8,5,37.1,2,1
35.2,30.0,6.82,3.27,15.6,wet,high,63.7,20,32.5,1,2
37.8,89.3,0.25,9.2,19.6,dry,low,48.7,1,90.6,0,0
43.8,47.1,13.66,5.5,18.2,wet,low,61.6,11,57.8,1,0
5.9,37.2,0.92,7.34,7.2,wet,medium,54.1,22,59.8,1,1
42.4,99.4,0.0,10.0,8.6,dry,low,36.9,12,92.5,0,0
41.4,76.7,1.51,10.0,0.0,snow,low,75.1,2,63.3,2,0
43.3,74.5,1.5,7.47,18.1,ice,low,40.6,10,37.7,3,0
29.8,60.1,0.93,10.0,20.4,dry,high,24.4,22,70.1,0,2
29.1,73.3,0.0,7.23,23.0,dry,high,37.4,1,64.1,0,2
19.8,24.8,0.0,10.0,15.5,dry,high,31.3,15,77.5,0,2
21.3,74.4,3.02,6.72,17.8,ice,high,30.4,21,23.6,3,2
6.9,40.1,0.04,9.14,10.6,dry,high,37.8,16,74.3,0,2
35.2,81.8,0.0,2.93,0.0,dry,medium,51.5,10,47.5,0,1
31.3,95.2,4.28,1.67,19.1,snow,medium,38.8,3,25.1,2,1
23.1,33.5,13.2,0.2,12.0,wet,medium,29.7,1,39.3,1,1
23.9,33.5,3.51,0.2,13.5,wet,low,39.6,22,39.9,1,0
-4.7,57.5,0.0,10.0,7.6,dry,medium,97.7,21,93.0,0,1
24.7,89.4,2.12,5.06,15.3,wet,high,50.4,3,40.9,1,2
8.7,43.7,0.0,8.27,3.9,dry,low,73.4,1,84.3,0,0
10.0,43.0,0.18,2.64,27.5,dry,high,65.5,13,27.7,0,2
44.8,65.0,0.12,4.39,29.9,dry,high,49.8,5,53.9,0,2
36.0,59.2,0.18,10.0,16.8,dry,low,66.9,14,97.3,0,0
30.8,85.8,1.97,8.11,13.8,wet,medium,26.6,21,65.4,1,1
31.5,98.2,0.26,6.07,17.4,dry,medium,83.7,7,70.3,0,1
8.2,55.7,0.0,5.82,15.0,dry,medium,44.5,19,62.6,0,1
9.1,65.9,0.02,5.39,3.8,dry,medium,77.3,15,61.9,0,1
19.0,56.5,0.0,10.0,22.7,dry,high,47.1,3,70.7,0,2
10.6,92.1,0.0,3.45,11.5,dry,low,79.2,16,58.0,0,0
39.3,65.6,0.0,6.18,29.0,dry,low,76.5,14,68.2,0,0
27.0,94.3,0.42,7.94,17.2,dry,medium,34.4,9,76.7,0,1
4.6,75.1,0.02,10.0,18.6,dry,medium,68.6,6,81.4,0,1
-4.7,68.8,1.21,10.0,16.4,snow,low,62.5,15,62.5,2,0
35.1,45.4,0.0,2.22,37.6,dry,medium,57.8,19,44.4,0,1
25.8,37.5,0.1,9.33,15.7,dry,medium,52.0,4,80.1,0,1
13.8,84.1,0.63,4.09,0.0,dry,low,53.4,14,60.4,0,0
32.7,22.5,0.14,10.0,17.5,dry,low,59.0,22,85.0,0,0
22.5,81.6,0.19,10.0,29.3,dry,medium,63.9,9,82.8,0,1
34.0,20.9,0.0,10.0,12.4,dry,low,53.9,6,95.0,0,0
-0.1,33.8,0.27,5.01,23.8,dry,low,57.0,15,60.1,0,0
40.2,79.4,0.45,8.6,21.2,dry,low,48.1,0,80.8,0,0
4.2,68.0,0.33,7.07,0.0,dry,medium,75.4,22,71.3,0,1
2.7,74.2,0.73,10.0,17.4,dry,medium,57.4,16,87.4,0,1
9.3,50.3,11.76,0.2,21.6,wet,low,38.4,23,40.0,1,0
24.1,98.3,0.93,8.46,29.7,snow,low,42.6,23,48.1,2,0
18.8,60.2,5.2,2.36,7.2,wet,high,28.9,15,30.1,1,2
37.5,70.8,3.59,0.2,13.6,ice,low,52.1,2,27.6,3,0
30.9,80.0,0.0,7.65,5.1,dry,low,53.7,20,83.0,0,0
19.5,89.1,1.07,6.93,29.9,ice,high,25.6,6,25.7,3,2
31.7,96.2,0.05,7.72,12.5,dry,low,38.2,9,81.4,0,0
11.1,27.8,0.3,9.43,8.8,dry,medium,66.4,4,84.5,0,1
30.6,86.7,3.36,4.1,21.4,snow,medium,40.8,3,36.8,2,1
5.4,63.3,0.0,10.0,25.5,dry,high,89.4,21,72.7,0,2
35.9,37.6,0.0,7.37,9.5,dry,low,62.5,23,84.7,0,0
36.6,67.6,0.0,10.0,1.3,dry,high,53.6,10,78.8,0,2
-0.4,30.7,3.6,6.67,5.4,ice,medium,71.5,13,27.9,3,1
29.3,29.4,0.0,6.26,22.1,dry,high,37.3,13,61.9,0,2
23.7,58.8,4.96,0.2,24.0,snow,high,37.8,16,18.9,2,2
29.7,34.2,0.62,10.0,26.9,dry,high,46.1,12,73.4,0,2
40.1,87.1,13.63,3.25,8.5,wet,low,71.4,15,41.4,1,0
11.8,34.2,0.07,5.66,13.0,dry,medium,66.2,13,65.9,0,1
16.8,62.9,1.24,5.84,24.2,wet,medium,28.7,15,52.3,1,1
28.5,31.3,0.0,6.82,0.0,dry,high,59.2,19,64.1,0,2
-1.5,55.2,12.97,6.74,14.3,wet,medium,52.6,14,49.3,1,1
30.7,69.0,0.0,10.0,25.1,dry,low,98.6,8,88.3,0,0
29.7,42.4,0.24,7.9,14.9,dry,low,56.2,0,76.0,0,0
13.0,31.6,0.42,7.78,1.8,dry,medium,89.2,14,82.2,0,1
2.2,31.3,9.61,1.29,11.4,wet,high,42.2,22,27.9,1,2
39.9,98.0,3.34,10.0,23.7,snow,low,55.8,3,54.9,2,0
19.1,74.2,0.14,10.0,0.0,dry,medium,36.6,1,89.3,0,1
27.3,23.4,0.33,10.0,15.8,ice,low,28.9,3,39.2,3,0
3.2,52.4,5.37,3.23,28.7,wet,high,40.5,16,34.3,1,2
37.4,43.2,0.0,9.78,27.5,dry,low,71.3,20,92.7,0,0
18.8,75.0,10.45,3.21,11.6,wet,medium,23.7,23,36.9,1,1
13.8,49.9,0.0,5.24,19.4,dry,medium,76.3,23,63.7,0,1
42.4,39.1,8.73,3.96,0.0,wet,medium,85.4,20,46.7,1,1
32.5,37.9,0.03,5.0,26.5,snow,low,51.0,18,39.3,2,0
-1.6,78.9,9.7,0.49,10.5,wet,high,76.5,11,25.5,1,2
37.3,78.2,0.39,10.0,13.7,dry,high,90.8,9,71.6,0,2
32.8,60.1,0.07,8.95,26.2,dry,medium,64.5,7,79.2,0,1
28.0,53.4,8.36,4.29,26.4,wet,high,38.4,16,43.4,1,2
39.1,92.0,0.21,9.98,2.4,dry,medium,82.7,19,86.5,0,1
29.2,72.9,0.0,9.97,0.0,dry,low,77.1,14,94.0,0,0
2.0,92.9,13.02,0.2,10.4,wet,low,72.3,9,35.3,1,0
40.7,75.2,0.0,6.56,14.6,dry,medium,35.3,1,66.1,0,1
-3.0,82.0,1.93,10.0,14.1,snow,high,47.9,9,45.3,2,2
15.3,29.2,12.54,1.96,24.8,wet,low,82.5,5,41.9,1,0
21.3,84.7,0.82,6.81,14.4,ice,high,82.4,5,24.3,3,2
-1.9,53.9,0.2,10.0,27.0,dry,medium,53.2,6,89.4,0,1
4.9,94.6,11.92,0.2,12.0,wet,medium,69.2,4,37.2,1,1
33.8,26.1,1.68,7.98,0.0,ice,low,35.1,3,35.7,3,0
4.2,28.9,0.0,4.98,10.2,dry,low,37.1,0,68.1,0,0
36.7,83.8,12.01,5.22,19.7,wet,low,54.4,7,52.3,1,0
10.0,94.2,0.0,10.0,0.0,dry,low,93.6,15,91.7,0,0
7.2,92.9,3.62,2.02,12.8,wet,low,55.9,15,35.6,1,0
24.7,61.9,0.13,7.36,0.0,dry,high,50.9,11,68.4,0,2
0.6,68.5,3.99,5.53,12.3,snow,high,65.7,10,34.4,2,2
20.4,32.4,0.0,6.06,14.0,dry,medium,36.6,5,66.4,0,1
39.6,68.6,0.0,10.0,10.4,dry,high,95.0,9,70.5,0,2
-0.5,34.7,0.0,9.51,5.6,dry,low,58.5,20,96.4,0,0
9.2,86.1,0.61,6.71,22.9,snow,low,65.7,6,46.0,2,0
28.8,43.5,0.0,9.69,8.9,dry,medium,76.1,9,89.7,0,1
37.6,59.2,14.06,5.64,18.3,wet,low,58.7,20,56.2,1,0
26.1,95.4,4.98,3.64,20.8,snow,low,91.8,9,31.2,2,0
10.0,93.2,0.0,10.0,7.8,dry,low,57.4,7,99.2,0,0
7.4,75.9,0.17,9.82,22.6,dry,high,43.9,9,78.6,0,2
6.9,85.0,0.1,5.83,40.2,dry,medium,52.8,1,65.5,0,1
39.5,50.8,2.52,0.2,17.6,snow,medium,54.2,14,27.1,2,1
17.5,63.7,1.02,9.48,13.0,snow,medium,15.4,2,57.8,2,1
-1.5,48.9,0.79,9.09,18.4,snow,medium,58.7,5,48.0,2,1
23.4,77.1,2.08,4.29,34.9,snow,medium,83.7,13,35.5,2,1
43.4,44.7,0.0,10.0,5.2,dry,medium,70.3,17,89.2,0,1
15.6,46.0,0.46,7.85,20.3,dry,medium,35.7,0,80.8,0,1
3.8,66.5,5.76,5.67,14.4,wet,medium,43.0,22,53.0,1,1
8.0,97.7,1.6,10.0,2.2,wet,low,108.6,13,80.4,1,0
11.4,35.4,0.0,10.0,16.4,dry,high,126.1,18,73.6,0,2
43.2,74.8,0.0,7.35,29.7,dry,high,28.7,21,61.7,0,2
14.5,99.5,2.95,0.48,12.8,snow,low,81.1,4,32.0,2,0
18.2,61.3,0.2,10.0,33.0,dry,medium,49.7,6,87.9,0,1
19.1,75.8,0.0,3.22,13.3,dry,medium,57.0,21,45.8,0,1
-2.8,79.3,0.13,10.0,0.4,dry,medium,64.2,4,93.7,0,1
24.6,66.5,3.26,1.52,1.9,snow,low,28.4,19,23.5,2,0
-3.6,44.3,10.39,5.12,15.1,wet,low,42.0,10,55.9,1,0
2.9,32.4,0.0,10.0,6.7,dry,medium,68.8,3,96.1,0,1
16.7,66.1,0.0,10.0,19.9,dry,high,50.9,17,75.8,0,2
19.9,68.5,0.19,7.78,10.0,dry,high,76.4,13,62.5,0,2
8.9,46.9,1.16,10.0,19.6,snow,low,98.9,21,59.7,2,0
29.2,62.8,0.89,10.0,0.0,wet,medium,69.1,21,76.1,1,1
11.1,92.7,0.0,4.87,7.4,dry,medium,42.7,5,59.3,0,1
26.1,62.7,3.93,0.2,28.6,snow,high,58.3,2,21.1,2,2
13.5,95.3,0.0,7.61,40.1,dry,low,74.8,23,84.6,0,0
11.3,56.4,4.02,4.64,27.3,wet,low,106.8,18,54.0,1,0
29.9,21.3,0.45,7.8,18.3,dry,low,58.2,10,82.5,0,0
24.5,80.0,7.98,1.78,7.0,wet,low,75.2,16,42.3,1,0
21.0,94.9,0.0,9.94,24.9,dry,medium,80.2,7,85.0,0,1
28.6,94.3,0.11,7.12,0.0,dry,high,63.8,15,61.2,0,2
42.1,72.9,13.11,1.4,4.3,wet,low,50.7,14,41.8,1,0
44.6,20.9,0.06,3.02,6.5,dry,medium,64.2,16,46.9,0,1
13.5,98.8,7.42,0.71,17.3,wet,medium,34.9,11,35.9,1,1
17.1,81.9,4.95,6.99,32.8,wet,medium,65.0,19,58.5,1,1
3.0,35.2,0.32,7.67,21.0,dry,high,51.4,14,71.1,0,2
40.0,64.2,4.07,4.37,0.0,wet,low,48.5,23,52.4,1,0
44.2,86.7,0.58,10.0,21.2,snow,low,55.7,9,59.4,2,0
39.5,64.8,3.9,0.2,23.7,snow,medium,36.8,1,26.8,2,1
26.0,60.8,1.3,9.09,0.0,ice,medium,40.0,14,38.0,3,1
-1.0,48.4,3.56,1.8,16.1,snow,medium,50.0,9,24.0,2,1
32.4,36.1,4.94,2.85,1.0,ice,high,35.4,7,16.1,3,2
10.9,67.1,5.0,0.2,8.0,snow,low,75.4,1,28.8,2,0
30.5,68.1,0.34,8.46,9.4,dry,low,98.5,23,89.0,0,0
3.3,59.6,0.0,10.0,8.7,dry,low,44.9,19,94.6,0,0
-0.5,38.5,3.29,1.96,23.5,ice,medium,83.9,14,19.9,3,1
36.2,74.6,0.02,6.11,15.1,dry,low,64.2,16,69.9,0,0
11.0,83.0,0.49,4.65,26.3,dry,low,51.4,22,61.2,0,0
5.6,59.7,1.15,3.49,16.5,ice,low,63.7,4,24.9,3,0
18.7,44.4,12.08,3.26,12.1,wet,low,97.0,11,40.8,1,0
24.8,39.5,0.22,10.0,31.6,dry,medium,84.3,7,86.3,0,1
-4.2,62.7,7.78,7.7,7.4,wet,medium,61.3,15,60.8,1,1
29.4,20.4,3.61,0.2,19.3,snow,low,51.5,5,26.2,2,0
4.4,53.0,2.98,2.83,25.5,snow,low,56.4,12,28.8,2,0
18.1,29.5,0.14,8.25,18.0,dry,medium,61.8,9,75.5,0,1
43.8,66.4,4.29,7.1,27.4,wet,low,50.5,9,63.7,1,0
32.9,28.4,0.31,3.67,10.7,dry,medium,18.1,22,49.4,0,1
-0.5,56.1,0.41,7.79,17.5,dry,high,67.5,4,62.5,0,2
25.0,55.0,4.77,1.99,20.4,wet,medium,47.8,6,39.9,1,1
34.8,27.7,0.63,10.0,18.8,dry,high,31.2,23,69.3,0,2
27.2,80.0,0.4,8.06,26.8,dry,low,85.5,23,81.7,0,0
13.6,73.1,0.22,8.43,18.4,dry,high,15.1,11,73.6,0,2
32.0,38.5,4.69,5.31,3.5,wet,medium,53.4,6,56.9,1,1
8.1,90.8,1.5,3.87,0.0,ice,high,33.3,20,18.9,3,2
30.1,62.2,2.05,3.91,0.0,ice,low,35.3,7,24.6,3,0
27.5,27.2,0.0,7.97,22.1,dry,medium,51.1,16,77.2,0,1
33.6,82.2,2.24,3.74,16.0,snow,low,35.1,10,36.6,2,0
25.8,24.5,0.0,10.0,10.5,dry,high,32.5,12,74.6,0,2
23.5,49.1,0.17,7.68,12.8,dry,medium,66.2,17,76.0,0,1
37.6,85.6,0.38,8.81,0.0,snow,low,51.5,12,54.9,2,0
9.6,89.7,0.0,10.0,11.7,dry,medium,54.7,2,86.0,0,1
21.8,78.4,2.86,6.17,1.6,snow,high,59.4,6,39.3,2,2
4.8,33.6,0.32,6.68,9.8,dry,medium,74.0,10,70.1,0,1
12.2,69.9,0.25,10.0,0.0,dry,medium,40.8,10,87.6,0,1
21.6,58.1,0.0,10.0,15.3,dry,low,52.5,7,91.3,0,0
16.5,45.7,0.0,8.17,12.2,dry,high,73.2,16,60.1,0,2
42.3,93.2,2.03,4.59,8.7,ice,medium,22.7,3,31.9,3,1
20.8,98.1,12.95,0.2,11.5,wet,low,51.8,14,41.2,1,0
5.6,50.7,2.23,7.89,12.1,ice,low,71.6,4,38.2,3,0
21.8,54.6,4.15,4.04,14.5,snow,medium,68.3,12,32.9,2,1
35.8,66.7,0.1,7.83,7.4,snow,low,49.1,1,46.5,2,0
18.2,80.6,13.79,6.48,4.7,wet,high,18.4,12,55.0,1,2
25.5,70.7,0.0,7.91,13.8,dry,high,63.2,11,64.1,0,2
29.9,76.1,0.0,6.28,24.4,dry,low,57.5,22,72.6,0,0
34.6,81.0,6.44,0.41,12.6,wet,low,48.5,6,41.2,1,0
20.7,41.4,0.16,10.0,14.7,snow,low,31.8,21,55.2,2,0
13.5,59.9,0.06,9.81,20.5,dry,medium,31.1,5,86.7,0,1
33.0,98.2,0.33,7.39,17.8,dry,medium,52.3,18,70.2,0,1
1.0,24.5,0.0,6.09,9.2,dry,medium,55.9,5,72.9,0,1
16.9,83.9,0.25,10.0,21.5,dry,medium,65.0,8,81.9,0,1
37.1,26.9,0.0,7.34,6.2,dry,low,75.8,7,79.1,0,0
34.0,30.2,3.66,4.64,13.1,ice,low,55.9,9,22.8,3,0
26.6,74.2,0.0,6.62,3.8,dry,low,46.9,13,83.3,0,0
43.3,67.4,0.0,10.0,10.7,dry,medium,38.0,5,88.6,0,1
-3.0,88.0,3.61,7.41,0.0,snow,high,52.0,23,38.7,2,2
27.3,34.9,6.65,4.86,22.2,wet,medium,57.6,20,49.2,1,1
43.9,95.9,13.27,2.85,14.1,wet,low,39.4,18,39.0,1,0
5.0,90.3,0.25,9.91,23.4,dry,high,63.2,23,75.9,0,2
24.5,68.9,0.24,9.77,11.8,dry,low,52.8,14,95.6,0,0
3.1,84.6,0.0,7.32,13.9,dry,low,10.0,8,76.9,0,0
22.7,63.8,0.0,5.48,18.8,dry,high,50.8,20,58.0,0,2
40.3,78.0,0.61,8.16,20.0,dry,medium,54.1,11,79.7,0,1
3.6,44.8,11.64,5.44,20.2,wet,high,52.2,8,48.0,1,2
38.8,24.5,0.18,10.0,12.4,dry,low,50.6,4,92.5,0,0
15.4,57.8,0.18,8.72,10.7,dry,high,55.7,12,70.1,0,2
34.4,52.5,14.32,6.11,25.8,wet,medium,60.8,4,58.4,1,1
35.4,96.7,1.87,3.47,0.0,wet,low,33.1,5,41.5,1,0
19.7,31.0,0.01,2.39,7.9,dry,high,47.9,2,37.1,0,2
2.9,68.2,11.82,3.58,14.5,wet,high,67.2,15,44.0,1,2
36.7,77.9,0.24,9.89,27.4,dry,high,61.7,18,67.9,0,2
4.9,81.9,4.24,0.2,23.9,ice,low,55.7,1,18.7,3,0
25.0,31.5,3.74,3.09,20.8,snow,low,57.3,11,31.5,2,0
31.0,66.4,3.03,0.97,21.4,wet,medium,64.3,18,33.1,1,1
6.9,68.1,1.69,10.0,17.0,snow,low,62.8,1,55.0,2,0
0.2,48.3,9.64,3.61,14.7,wet,low,38.4,6,45.6,1,0
23.0,63.2,3.84,4.18,22.1,snow,low,51.6,2,40.9,2,0
34.2,72.3,0.0,10.0,13.6,dry,high,29.7,21,81.2,0,2
11.1,56.6,0.0,10.0,14.8,dry,medium,46.4,6,81.2,0,1
-0.9,35.7,0.0,10.0,22.1,dry,low,48.0,1,93.5,0,0
43.5,30.5,0.0,7.89,18.4,dry,medium,72.2,2,76.8,0,1
11.6,79.1,3.07,0.2,13.6,snow,low,50.5,3,33.0,2,0
33.3,40.7,11.51,4.08,25.8,wet,medium,55.7,6,42.2,1,1
44.8,57.3,0.45,10.0,0.0,dry,high,34.2,17,78.1,0,2
-3.6,61.5,0.0,10.0,20.1,dry,low,69.2,14,92.7,0,0
38.3,48.6,0.14,6.81,6.4,dry,low,78.2,9,80.8,0,0
4.9,63.2,0.0,3.23,11.6,dry,low,70.9,17,54.1,0,0
2.3,27.3,0.0,9.87,19.5,dry,medium,66.1,0,82.6,0,1
0.7,30.5,0.08,3.11,4.4,dry,low,74.2,4,50.6,0,0
33.6,42.7,2.93,1.03,29.3,snow,medium,85.1,3,28.2,2,1
38.7,83.2,0.72,7.06,22.4,dry,medium,62.1,2,71.2,0,1
43.5,67.7,3.02,4.31,19.2,snow,medium,70.4,3,37.7,2,1
12.8,55.1,0.0,8.38,24.3,dry,medium,69.2,0,80.6,0,1
8.9,85.9,0.0,2.74,32.9,dry,medium,36.5,20,42.9,0,1
18.5,31.9,7.71,5.12,22.2,wet,high,83.4,6,36.6,1,2
16.1,32.9,0.0,9.35,14.1,dry,medium,69.3,11,89.8,0,1
3.9,85.0,11.93,0.22,23.7,wet,high,64.0,15,32.6,1,2
17.9,60.4,0.0,9.46,21.0,dry,medium,72.8,8,77.6,0,1
42.7,74.6,0.0,5.81,21.0,dry,high,83.5,22,62.0,0,2
0.4,23.6,14.25,0.97,8.0,wet,low,54.9,21,40.5,1,0
21.0,83.1,0.0,8.73,2.6,dry,high,53.8,22,73.3,0,2
40.0,58.8,7.35,2.51,4.7,wet,high,40.7,11,31.8,1,2
15.2,48.5,0.0,10.0,9.4,dry,medium,22.2,9,85.8,0,1
-1.9,20.0,0.33,5.73,7.6,dry,medium,56.8,23,67.4,0,1
35.2,87.0,0.0,6.44,10.3,dry,medium,44.9,3,63.6,0,1
16.3,33.2,12.6,0.68,18.5,wet,high,26.8,22,33.3,1,2
2.8,37.3,11.29,9.01,33.0,wet,medium,33.1,23,68.4,1,1
27.3,60.6,0.31,10.0,9.8,dry,medium,36.5,13,79.3,0,1
3.4,52.6,0.0,10.0,19.0,dry,medium,88.7,4,87.6,0,1
28.3,41.1,0.0,10.0,27.6,dry,high,78.6,0,78.1,0,2
44.4,64.1,3.39,0.2,15.1,ice,medium,55.9,18,12.9,3,1
31.1,31.5,0.13,10.0,32.1,dry,high,47.4,0,73.7,0,2
27.9,89.4,0.0,9.25,19.9,dry,high,10.0,21,71.5,0,2
35.0,94.8,0.0,9.77,22.0,dry,medium,50.7,3,85.8,0,1
31.2,79.4,0.0,10.0,24.3,dry,medium,23.6,23,85.2,0,1
39.0,30.9,12.25,8.5,10.2,wet,medium,32.4,8,67.5,1,1
41.8,84.0,0.01,4.51,15.1,dry,high,67.2,0,55.8,0,2
27.1,21.5,0.06,7.53,29.9,dry,medium,57.7,21,72.3,0,1
21.7,41.3,0.0,7.87,13.6,dry,medium,39.1,22,77.7,0,1
6.2,60.9,0.28,8.62,12.6,dry,low,61.2,19,91.0,0,0
-3.1,32.0,0.06,6.53,0.0,dry,high,61.9,11,61.5,0,2
44.0,63.2,0.0,9.01,7.5,dry,high,74.7,12,75.2,0,2
22.3,67.0,0.0,8.85,0.0,dry,low,76.9,21,99.0,0,0
5.1,70.3,0.0,5.23,10.7,dry,medium,62.9,5,62.1,0,1
35.8,78.3,0.0,9.93,12.7,dry,low,75.5,7,94.6,0,0
-1.1,32.7,0.13,7.78,13.1,ice,medium,25.4,5,37.2,3,1
-4.0,97.6,0.02,10.0,44.2,dry,medium,43.3,17,80.7,0,1
-3.6,73.7,0.32,4.76,5.7,dry,low,89.9,12,65.2,0,0
26.6,37.3,0.21,8.55,30.9,dry,medium,61.7,14,85.7,0,1
41.0,96.5,0.0,9.38,38.9,dry,low,74.0,5,89.4,0,0
13.0,89.6,0.26,7.46,31.6,dry,medium,58.0,17,74.0,0,1
11.2,43.6,0.11,3.02,20.8,ice,low,75.4,14,21.9,3,0
35.8,45.6,7.11,0.2,6.8,wet,high,41.0,10,29.3,1,2
12.0,43.7,6.03,6.79,34.1,wet,medium,21.3,2,57.1,1,1
5.9,52.9,0.59,10.0,28.6,snow,low,38.9,23,53.6,2,0
35.8,77.8,2.29,2.57,20.3,wet,high,32.2,17,34.2,1,2
35.2,72.2,0.0,10.0,20.0,dry,low,75.0,23,91.2,0,0
0.6,87.2,0.39,5.86,34.6,ice,high,44.4,18,27.1,3,2
34.9,83.1,0.46,10.0,10.0,dry,low,43.3,23,97.0,0,0
36.3,64.6,0.39,8.52,34.8,dry,high,28.6,7,69.6,0,2
9.6,68.9,0.15,6.79,10.1,dry,low,44.8,5,81.5,0,0
1.4,80.5,0.0,9.31,29.6,dry,high,72.8,10,74.7,0,2
35.2,21.2,2.68,5.88,28.1,snow,low,37.8,18,38.7,2,0
-4.9,38.9,0.63,9.47,16.7,dry,low,31.6,20,90.5,0,0
10.4,71.2,14.11,7.99,23.9,wet,low,31.6,7,68.9,1,0
-1.3,84.4,0.05,7.2,40.0,dry,low,66.9,22,73.6,0,0
40.7,24.5,4.6,0.2,4.8,wet,low,63.8,23,36.2,1,0
-5.0,92.4,0.44,8.74,6.8,dry,low,84.9,15,87.9,0,0
21.1,29.7,3.98,5.41,10.1,ice,low,62.1,19,27.5,3,0
34.5,30.7,3.32,4.98,13.4,snow,low,32.5,0,38.5,2,0
-2.8,23.3,0.19,7.34,22.5,dry,medium,48.7,21,75.5,0,1
37.9,69.5,8.77,2.04,16.1,wet,medium,58.1,17,36.4,1,1
25.8,32.4,0.0,5.94,15.9,dry,medium,20.4,8,61.8,0,1
37.0,72.8,12.26,1.69,0.1,wet,medium,24.4,2,37.3,1,1
20.6,97.7,0.0,7.15,10.1,dry,low,30.7,0,79.9,0,0
3.3,37.8,0.09,10.0,10.6,dry,medium,48.9,21,90.7,0,1
44.1,81.2,4.53,2.2,16.2,snow,low,73.5,18,28.5,2,0
38.7,28.8,0.26,4.91,32.4,dry,low,59.4,8,55.4,0,0
6.1,47.0,4.18,0.33,9.2,snow,high,49.2,7,21.7,2,2
41.9,72.2,0.12,9.83,14.1,dry,high,34.6,11,80.1,0,2
29.2,43.2,0.0,4.31,21.4,dry,high,46.6,7,41.3,0,2
18.1,74.2,1.61,5.2,16.9,snow,medium,72.4,18,36.6,2,1
6.2,55.1,0.0,9.01,5.2,dry,low,62.6,21,92.5,0,0
30.1,32.1,2.75,1.58,16.6,ice,high,30.0,20,14.3,3,2
28.9,69.1,7.91,2.77,0.5,wet,low,38.9,19,43.5,1,0
24.9,91.0,0.0,7.85,7.8,dry,low,68.2,19,82.6,0,0
37.2,54.3,9.42,3.92,14.1,wet,medium,27.5,18,40.1,1,1
26.8,26.9,0.27,8.9,17.4,dry,medium,31.6,11,82.3,0,1
23.8,41.7,6.84,3.68,10.6,wet,high,57.1,22,38.3,1,2
8.6,57.6,6.77,0.2,26.8,wet,medium,10.0,15,39.9,1,1
3.3,23.2,2.03,5.68,7.0,wet,high,49.0,2,46.0,1,2
39.3,68.3,4.19,1.08,27.0,snow,medium,60.9,4,27.4,2,1
11.3,30.6,0.0,9.92,9.3,dry,low,62.4,22,91.3,0,0
9.5,88.4,0.0,5.03,34.1,dry,low,24.4,21,64.3,0,0
38.0,27.8,0.0,7.61,0.0,dry,low,59.6,23,84.1,0,0
34.6,84.6,0.18,7.74,14.2,snow,low,48.0,15,51.7,2,0
19.8,71.2,0.47,7.33,33.4,dry,medium,53.9,23,72.0,0,1
6.3,29.8,2.95,4.62,13.2,snow,medium,78.2,21,35.8,2,1
44.4,81.2,6.74,5.8,0.0,wet,medium,66.7,17,53.5,1,1
14.2,80.5,0.14,4.91,0.0,dry,medium,58.4,8,63.4,0,1
34.7,59.2,1.18,7.83,0.0,ice,medium,56.8,10,35.4,3,1
3.7,81.2,3.01,8.72,4.3,ice,medium,79.7,6,38.5,3,1
